title,release_date,media_type,popularity,overview,language,genres,region,release_year
Sky Ladder: The Art of Cai Guo-Qiang,2016-01-21,movie,0.3287,"Known for his spectacular pyrotechnic displays, Chinese artist Cai Guo-Qiang creates his most ambitious project yet: Sky Ladder, a visionary, explosive event that he pulls off in his hometown in China after 20 years of failed attempts.",en,['Documentary'],US,2016
The Bad Batch,2016-09-06,movie,1.9836,"After being exiled to a fenced-off wasteland, Arlen is kidnapped by a group of cannibals and goes on a journey to reunite a missing girl with her father.",en,"['Horror', 'Science Fiction', 'Thriller']",FR,2016
Message from the King,2016-09-08,movie,1.4637,"On a relentless quest to avenge his sister's murder, a man from Cape Town infiltrates a sprawling network of lowlifes and elites in Los Angeles.",en,"['Action', 'Mystery', 'Thriller']",CA,2016
The Bad Batch,2016-09-08,movie,1.9836,"After being exiled to a fenced-off wasteland, Arlen is kidnapped by a group of cannibals and goes on a journey to reunite a missing girl with her father.",en,"['Horror', 'Science Fiction', 'Thriller']",CA,2016
Brain on Fire,2016-09-14,movie,2.4124,"Susannah Cahalan, an up-and-coming journalist at the New York Post becomes plagued by voices in her head and seizures, causing a rapid descent into insanity.",en,['Drama'],CA,2016
Sky Ladder: The Art of Cai Guo-Qiang,2016-10-14,movie,0.3287,"Known for his spectacular pyrotechnic displays, Chinese artist Cai Guo-Qiang creates his most ambitious project yet: Sky Ladder, a visionary, explosive event that he pulls off in his hometown in China after 20 years of failed attempts.",en,['Documentary'],FR,2016
Jen Kirkman: Just Keep Livin'?,2017-01-02,movie,0.1558,"Incisive comic Jen Kirkman gets real about women's bodies, the value of alone time and an Italian private tour guide who may have been a ghost.",en,['Comedy'],"AU,BR,CA,DE,FR,GB,IN,JP,MX,US",2017
Edgar Rice Burroughs' Tarzan and Jane,2017-01-05,tv,7.5946,"Saved from a plane crash and given supernatural powers, teen Tarzan joins forces with brave city girl Jane to protect his jungle home from threats.",en,"['Action & Adventure', 'Animation']","AU,BR,CA,DE,FR,GB,IN,JP,MX,US",2017
One Day at a Time,2017-01-06,tv,31.185899999999997,"In a reimagining of the TV classic, a newly single Latina mother raises her teen daughter and tween son with the ""help"" of her old-school mom.",en,['Comedy'],"AU,BR,CA,DE,FR,GB,IN,JP,MX,US",2017
Coin Heist,2017-01-06,movie,0.8230999999999999,"When a crisis threatens to destroy their high school, four teens hatch a daring plan to raise $10 million. Step one? Breaking into the U.S. Mint.",en,"['Family', 'Crime']","AU,BR,CA,DE,FR,GB,IN,JP,MX,US",2017
Jim Gaffigan: Cinco,2017-01-10,movie,0.1686,America's king of clean comedy delivers wickedly funny jokes in his fifth hour-long special.,en,['Comedy'],"AU,BR,CA,DE,FR,GB,IN,JP,MX,US",2017
Sleepless,2017-01-12,movie,3.1018,"Undercover Las Vegas police officer Vincent Downs, who has a lot of enemies, is caught in a high stakes web of corrupt cops and the mob-controlled casino underground. When a heist goes wrong, a crew of homicidal gangsters kidnap Downs’ teenage son T. In one sleepless night, Downs will have to rescue his son, evade an internal affairs investigation, and bring the kidnappers to justice.",en,"['Action', 'Crime', 'Thriller']","CA,MX",2017
xXx: Return of Xander Cage,2017-01-13,movie,11.0309,"Xander Cage is left for dead after an incident, though he secretly returns to action for a new, tough assignment with his handler Augustus Gibbons.",en,"['Action', 'Adventure', 'Crime']",MX,2017
A Series of Unfortunate Events,2017-01-13,tv,34.674,"The orphaned Baudelaire children face trials, tribulations and the evil Count Olaf, all in their quest to uncover the secret of their parents' death.",en,"['Action & Adventure', 'Family', 'Comedy', 'Mystery']","AU,BR,CA,DE,FR,GB,IN,JP,MX,US",2017
Clinical,2017-01-13,movie,1.1284,"A psychiatrist tries to put her life back together after a violent attack by seeking to repair the life of a new patient, but he has his own terrifying history.",en,"['Thriller', 'Horror']","AU,BR,CA,FR,GB,IN,JP,MX,US",2017
Clinical,2017-01-15,movie,1.1284,"A psychiatrist tries to put her life back together after a violent attack by seeking to repair the life of a new patient, but he has his own terrifying history.",en,"['Thriller', 'Horror']",DE,2017
Neal Brennan: 3 Mics,2017-01-17,movie,0.3667,"Wicked one-liners and soul-baring confessions converge in this uniquely intimate stand-up special from ""Chappelle's Show"" co-creator Neal Brennan.",en,['Comedy'],"AU,BR,CA,DE,FR,GB,IN,JP,MX,US",2017
I Don't Feel at Home in This World Anymore,2017-01-19,movie,1.4219,"When a depressed woman is burglarized, she finds a new sense of purpose by tracking down the thieves alongside her obnoxious neighbor. But they soon find themselves dangerously out of their depth against a pack of degenerate criminals.",en,"['Thriller', 'Drama', 'Crime', 'Comedy']","AU,IN,MX,US",2017
Take the 10,2017-01-20,movie,1.1973,"A day in the life of two best friends, a drug dealer, and a store manager collide at a hip-hop concert in the Inland Empire.",en,['Comedy'],"AU,BR,CA,FR,GB,IN,JP,MX,US",2017
The Mars Generation,2017-01-20,movie,0.5395,Aspiring teenage astronauts reveal that a journey to Mars is closer than you think.,en,['Documentary'],"AU,BR,CA,DE,FR,GB,IN,JP,MX,US",2017
The Discovery,2017-01-20,movie,1.2158,"In the near future, due to a breakthrough scientific discovery by Dr. Thomas Harbor, there is now definitive proof of an afterlife. While countless people have chosen suicide to reset their existence, others try to decide what it all means. Among them is Dr. Harbor's son Will, who has arrived at his father's isolated compound with a mysterious young woman named Isla. There, they discover the strange acolytes who help Dr. Harbor with his experiments.",en,"['Drama', 'Romance', 'Science Fiction', 'Thriller', 'Mystery']",US,2017
Joshua: Teenager vs. Superpower,2017-01-20,movie,0.3901,"When the Chinese Communist Party backtracks on its promise of autonomy to Hong Kong, teenager Joshua Wong decides to save his city. Rallying thousands of kids to skip school and occupy the streets, Joshua becomes an unlikely leader in Hong Kong and one of China’s most notorious dissidents.",en,['Documentary'],"AU,BR,CA,DE,GB,IN,JP,MX,US",2017
The Polka King,2017-01-22,movie,1.4441,Local Pennsylvania polka legend Jan Lewan develops a plan to get rich that shocks his fans and lands him in jail.,en,['Comedy'],"AU,CA,DE,GB,IN,JP,MX,US",2017
To the Bone,2017-01-22,movie,2.1793,A young woman dealing with anorexia meets an unconventional doctor who challenges her to face her condition and embrace life.,en,['Drama'],"AU,BR,CA,GB,IN,MX,US",2017
Roxanne Roxanne,2017-01-22,movie,1.0191,"The most feared battle emcee in the early 1980s in Queens, New York, was a fierce teenager from the Queensbridge projects. At the age of 14, Roxanne Shanté was well on her way to becoming a hip-hop legend, as she hustled to provide for her family while defending herself from the dangers of the street.",en,['Drama'],"AU,BR,CA,DE,IN,MX,US",2017
