title,media_type,release_date,popularity,overview,language,vote_count,release_year,genres
Big Mouth,tv,2017-09-29,62.5925,Teenage friends find their lives upended by the wonders and horrors of puberty in this edgy comedy from real-life pals Nick Kroll and Andrew Goldberg.,en,1123,2017,"['Comedy', 'Animation']"
13 Reasons Why,tv,2017-03-31,55.3232,"After a teenage girl's perplexing suicide, a classmate receives a series of tapes that unravel the mystery of her tragic choice.",en,4310,2017,"['Drama', 'Mystery']"
Ozark,tv,2017-07-21,47.7535,"A financial adviser drags his family from Chicago to the Missouri Ozarks, where he must launder $500 million in five years to appease a drug boss.",en,2467,2017,"['Crime', 'Drama']"
A Series of Unfortunate Events,tv,2017-01-13,34.674,"The orphaned Baudelaire children face trials, tribulations and the evil Count Olaf, all in their quest to uncover the secret of their parents' death.",en,930,2017,"['Action & Adventure', 'Family', 'Comedy', 'Mystery']"
Atypical,tv,2017-08-11,31.4947,"Sam, an 18-year-old on the autism spectrum, takes a funny, yet painful, journey of self-discovery for love and independence and upends his family.",en,1132,2017,"['Drama', 'Comedy']"
MINDHUNTER,tv,2017-10-13,31.474,An agent in the FBI's Elite Serial Crime Unit develops profiling techniques as he pursues notorious serial killers and rapists.,en,2633,2017,"['Drama', 'Crime']"
One Day at a Time,tv,2017-01-06,31.1859,"In a reimagining of the TV classic, a newly single Latina mother raises her teen daughter and tween son with the ""help"" of her old-school mom.",en,176,2017,['Comedy']
Castlevania,tv,2017-07-07,30.6386,A vampire hunter fights to save a besieged city from an army of otherworldly beasts controlled by Dracula himself.,en,1398,2017,"['Animation', 'Sci-Fi & Fantasy', 'Drama']"
Dear White People,tv,2017-04-28,30.3633,"At a predominantly white Ivy League college, a diverse group of students navigate various forms of racial and other types of discrimination.",en,175,2017,"['Comedy', 'Drama']"
GLOW,tv,2017-06-23,30.0002,"In 1980s LA, a crew of misfits reinvent themselves as the Gorgeous Ladies of Wrestling.",en,397,2017,"['Comedy', 'Drama']"
Santa Clarita Diet,tv,2017-02-03,28.491,They're ordinary husband and wife realtors until she undergoes a dramatic change that sends them down a road of death and destruction. In a good way.,en,731,2017,"['Comedy', 'Mystery', 'Crime']"
Bill Nye Saves the World,tv,2017-04-21,20.3201,"Bill Nye explores science and its impact on politics, society and pop culture. Each episode tackles a topic from a scientific point of view, dispelling myths, and refuting anti-scientific claims that may be espoused by politicians, religious leaders or titans of industry.",en,54,2017,"['Reality', 'Talk', 'Documentary']"
American Vandal,tv,2017-09-15,19.5018,A true-crime satire that explores the aftermath of a costly high school prank that left twenty-seven faculty cars vandalized with phallic images.,en,306,2017,"['Comedy', 'Crime']"
Girlboss,tv,2017-04-21,18.8073,"Sophia is a rebellious, broke anarchist who refuses to grow up. She stumbles upon her passion of selling vintage clothes online and becomes an unlikely businesswoman. As she builds her retail fashion empire, she realizes the value and the difficulty of being the boss of her own life.",en,159,2017,['Comedy']
Friends from College,tv,2017-07-14,17.8333,"Twenty years after graduation, a tight-knit group of college friends reconnects and discovers that love hasn't gotten easier with age.",en,108,2017,['Comedy']
True and the Rainbow Kingdom,tv,2017-08-11,17.6434,"When something's wrong in the Rainbow Kingdom, bighearted guardian True and her best friend, Bartleby, are there to grant wishes and save the day.",en,20,2017,"['Animation', 'Kids', 'Comedy']"
She's Gotta Have It,tv,2017-11-23,16.6883,"Nola Darling struggles to define herself and divide her time among her friends, job and three lovers. A new take on Spike Lee's film, in 10 episodes.",en,54,2017,['Comedy']
Greenhouse Academy,tv,2017-09-08,16.6418,"When teen siblings Hayley and Alex enter an elite boarding school, they find rivalry, romance and a mystery related to the recent loss of their mom.",en,150,2017,['Drama']
Spirit: Riding Free,tv,2017-09-09,16.5588,"In a small Western town, spunky ex-city girl Lucky forms a tight bond with wild horse Spirit while having adventures with best pals Pru and Abigail.",en,40,2017,"['Kids', 'Animation']"
Wet Hot American Summer: Ten Years Later,tv,2017-08-04,16.4227,"A decade after their wild summer as junior counselors, the gang reunites for a weekend of bonding, hanky-panky and hair-raising adventures.",en,116,2017,['Comedy']
Godless,tv,2017-11-22,16.3055,"A ruthless outlaw terrorizes the West in search of a former member of his gang, who’s found a new life in a quiet town populated only by women.",en,615,2017,"['Western', 'Drama']"
Disjointed,tv,2017-08-25,15.6119,Pot activist Ruth Whitefeather Feldman runs a medical marijuana dispensary while encouraging her loyal patients to chill out and enjoy the high life.,en,113,2017,['Comedy']
Gypsy,tv,2017-06-30,14.5374,The journey of Jean Holloway – a therapist who begins to develop dangerous and intimate relationships with the people in her patients' lives.,en,198,2017,['Drama']
Abstract: The Art of Design,tv,2017-02-10,13.7242,Step inside the minds of the most innovative designers in a variety of disciplines and learn how design impacts every aspect of life.,en,71,2017,['Documentary']
Super Monsters,tv,2017-10-13,12.3184,Preschool kids whose parents are the world's most famous monsters try to master their special powers while preparing for kindergarten.,en,44,2017,"['Animation', 'Kids', 'Comedy']"
Wormwood,tv,2017-12-15,12.0549,"In this genre-bending tale, Errol Morris explores the mysterious death of a U.S. scientist entangled in a secret Cold War program known as MK-Ultra.",en,22,2017,"['Documentary', 'Crime', 'Drama']"
Ultimate Beastmaster,tv,2017-02-24,11.8024,"In this intense obstacle course series, elite athletes from the U.S. and other countries compete for cash prizes, individual glory and national pride.",en,35,2017,"['Action & Adventure', 'Reality']"
The Magic School Bus Rides Again,tv,2017-09-29,11.1508,Ms. Frizzle's sister takes her class on a slew of wild science adventures in this update of the beloved animated show.,en,23,2017,"['Kids', 'Animation']"
Trump: An American Dream,tv,2017-11-09,10.4339,"Friends, associates and critics reveal the truly American story of Donald Trump, the brash businessman who defied the odds to become U.S. president.",en,39,2017,['Documentary']
Neo Yokio,tv,2017-09-22,9.8632,"Joined by his faithful mecha-butler, Kaz Kaan pursues love, fashion and supernatural forces amid Neo Yokio's sinister high society.",en,51,2017,"['Animation', 'Action & Adventure', 'Sci-Fi & Fantasy', 'Comedy']"
The Standups,tv,2017-07-04,9.3855,"Comedy's freshest voices take the stage in LA for six half-hour specials packed with sly jokes, hilarious anecdotes and awkward confessions.",en,26,2017,['Comedy']
The Toys That Made Us,tv,2017-12-22,8.9055,The minds behind history's most iconic toy franchises discuss the rise -- and sometimes fall -- of their billion-dollar creations.,en,86,2017,['Documentary']
Stretch Armstrong & the Flex Fighters,tv,2017-11-16,8.8544,"When overscheduled teenager Jake Armstrong and his two best friends are accidentally exposed to an experimental chemical, they become Stretch Armstrong and the Flex Fighters, a team of unlikely superheroes who expand beyond the confines of their lives and embark on a series of adventures.",en,7,2017,"['Animation', 'Action & Adventure']"
