title,media_type,release_year,release_date,popularity,language,genres,region,overview
"""Sr.""",movie,2022,2022-09-02,0.9033999999999999,en,['Documentary'],"AU, BR, CA, DE, FR, GB, IN, JP, MX, US","A portrait of the life and career of Robert Downey Sr. (1936-2021), the visionary and fearless US filmmaker — father of actor Robert Downey Jr. — who in the sixties and seventies laid the foundations for countercultural comedy."
#blackAF,tv,2020,2020-04-17,11.4562,en,['Comedy'],"AU, BR, CA, DE, FR, GB, IN, JP, MX, US",A father takes an irreverent and honest approach to parenting and relationships.
#realityhigh,movie,2017,2017-07-17,1.4593,en,['Comedy'],"AU, BR, CA, DE, FR, GB, IN, JP, MX, US","When nerdy high schooler Dani finally attracts the interest of her longtime crush, she lands in the cross hairs of his ex, a social media celebrity."
'Twas the Text Before Christmas,movie,2023,2023-10-21,1.5194,en,"['Comedy', 'Romance', 'TV Movie']","AU, BR, DE, FR, GB, IN, JP, MX","Addie is a New York City chiropractor mistakenly receives a text from “Nana.” The accidental text turns into a loving friendship between the matronly Nana and Addie who now communicate regularly. Nana invites Addie to spend the holiday in Vermont. It is picture-postcard perfect and exactly as Nana described except for one surprise. Nana’s single son, James, a traveling doctor is also home for the holidays. Over three consecutive years, James and Addie are together during the holidays, though it isn’t until they are both single that they begin to see each other in a different light."
(Un)Well,tv,2020,2020-08-12,0.9548,en,['Documentary'],"AU, BR, CA, DE, FR, GB, IN, JP, MX, US","This docuseries takes a deep dive into the lucrative wellness industry, which touts health and healing. But do the products live up to the promises?"
100 Humans: Life's Questions. Answered.,tv,2020,2020-03-13,1.8374,en,"['Documentary', 'Reality']","AU, BR, CA, DE, FR, GB, IN, JP, MX, US","One hundred hardy souls from diverse backgrounds participate in playful experiments exploring age, sex, happiness and other aspects of being human."
12 Strong,movie,2018,2018-01-18,5.492,en,"['Drama', 'History', 'War', 'Action']","AU, CA",A team of special forces head into Afghanistan in the aftermath of the September 11th attacks in an attempt to dismantle the Taliban.
13 Reasons Why,tv,2017,2017-03-31,55.3232,en,"['Mystery', 'Drama']","AU, BR, CA, DE, FR, GB, IN, JP, MX, US","After a teenage girl's perplexing suicide, a classmate receives a series of tapes that unravel the mystery of her tragic choice."
13 Reasons Why: Beyond the Reasons,tv,2017,2017-03-31,4.8866,en,['Talk'],"AU, BR, CA, DE, FR, GB, IN, JP, MX, US","Cast members, writers, producers and mental health professionals discuss some of the difficult issues and themes explored in ""13 Reasons Why."""
137 Shots,movie,2021,2021-12-15,0.4295999999999999,en,"['Crime', 'Documentary']","AU, BR, CA, DE, FR, GB, IN, JP, MX, US","In this documentary, law enforcement faces scrutiny as Americans demand justice after police violence claims multiple Black lives in Cleveland."
13: The Musical,movie,2022,2022-08-12,0.676,en,"['Comedy', 'Family', 'Drama']","AU, BR, CA, DE, FR, GB, IN, JP, MX, US","After moving from New York City to Indiana, a 12 year old navigates his parents' divorce, his impending bar mitzvah and his new school's social circles."
14 Peaks: Nothing Is Impossible,movie,2021,2021-11-12,1.3656,en,['Documentary'],"AU, BR, CA, DE, FR, GB, IN, JP, MX, US","In 2019, Nepalese mountain climber Nirmal “Nims” Purja set out to do the unthinkable by climbing the world’s fourteen highest summits in less than seven months. (The previous record was eight years). He called the effort “Project Possible 14/7” and saw it as a way to inspire others to strive for greater heights in any pursuit. The film follows his team as they seek to defy naysayers and push the limits of human endurance."
1917,movie,2019,2019-12-25,7.8178,en,"['History', 'Drama', 'Thriller', 'War']",US,"At the height of the First World War, two young British soldiers must cross enemy territory and deliver a message that will stop a deadly attack on hundreds of soldiers."
1922,movie,2017,2017-09-23,2.0255,en,"['Crime', 'Drama', 'Horror']","AU, BR, CA, DE, FR, GB, IN, JP, MX, US","A simple yet proud rancher conspires to murder his wife for financial gain, convincing his teenage son to participate."
2 Hearts,movie,2020,2020-10-16,2.1714,en,"['Drama', 'Romance']",US,"When illness strikes two people who are polar opposites, life and death bring them together in surprising ways."
20 Days in Mariupol,movie,2023,2023-07-14,1.2512,en,"['Documentary', 'War']","BR, MX","As the Russian invasion begins, a team of Ukrainian journalists trapped in the besieged city of Mariupol struggle to continue their work documenting the war's atrocities."
2067,movie,2020,2020-10-01,3.7831,en,['Science Fiction'],AU,"A lowly utility worker is called to the future by a mysterious radio signal, he must leave his dying wife to embark on a journey that will force him to face his deepest fears in an attempt to change the fabric of reality and save humankind from its greatest environmental crisis yet."
22 July,movie,2018,2018-09-08,1.8323,en,"['Crime', 'Drama', 'Thriller', 'History']","AU, BR, CA, DE, FR, GB, IN, JP, MX, US","On 22 July 2011, neo-Nazi terrorist Anders Behring Breivik murdered 77 young people attending a Labour Party Youth Camp on Utøya Island outside of Oslo. This three-part story focuses on the survivors, the political leadership of Norway, and the lawyers involved."
27: Gone Too Soon,movie,2018,2018-03-26,1.2924,en,['Documentary'],"DE, FR, GB","Brian Jones, Jimi Hendrix, Janis Joplin and Jim Morrison all died at the age of 27 between 1969 and 1971. At the time, the coincidence gave rise to some comment, but it was not until the death of Kurt Cobain, about two and a half decades later, that the idea of a ""27 Club"" began to catch on in public perception, reignited with the death of Amy Winehouse in 2011. Through interviews with people who knew them, such as music stars, critics, medical experts and unseen footage, the lives, music, and artistry of those who died at 27 are investigated with a bid to find answers."
28 Days Haunted,tv,2022,2022-10-21,2.017,en,['Reality'],"AU, BR, CA, DE, FR, GB, IN, JP, MX, US",Three teams each spend 28 days in some of America's most haunted locations for a paranormal experiment based on the theories of Ed and Lorraine Warren.
3 Body Problem,tv,2024,2024-03-21,14.675,en,"['Mystery', 'Drama', 'Sci-Fi & Fantasy']","AU, BR, CA, DE, FR, GB, IN, JP, MX, US","Across continents and decades, five brilliant friends make earth-shattering discoveries as the laws of science unravel and an existential threat emerges."
3Below: Tales of Arcadia,tv,2018,2018-12-21,22.8874,en,"['Comedy', 'Family', 'Sci-Fi & Fantasy', 'Animation']","AU, BR, CA, DE, FR, GB, IN, JP, MX, US","After crash-landing on Earth, two royal teen aliens on the run struggle to blend in with humans as they evade intergalactic bounty hunters."
47 Meters Down,movie,2017,2017-12-01,3.0467,en,"['Thriller', 'Horror']",DE,"Two sisters on Mexican vacation are trapped in a shark observation cage at the bottom of the ocean, with oxygen running low and great whites circling nearby, they have less than an hour of air left to figure out how to get to the surface."
47 Meters Down: Uncaged,movie,2019,2019-10-31,3.0263,en,"['Thriller', 'Horror']",AU,"Four teenage girls go on a diving adventure to explore a submerged Mayan city. Once inside, their rush of excitement turns into a jolt of terror as they discover the sunken ruins are a hunting ground for deadly great white sharks. With their air supply steadily dwindling, the friends must navigate the underwater labyrinth of claustrophobic caves and eerie tunnels in search of a way out of their watery hell."
6 Balloons,movie,2018,2018-03-12,0.9554,en,['Drama'],"AU, BR, CA, DE, FR, GB, IN, JP, MX, US","Over the course of one night, a woman drives across LA with her heroin addict brother in search of a detox center, with his two-year-old daughter in tow."
6 Days,movie,2017,2017-07-09,2.0604,en,"['Drama', 'Thriller', 'History', 'Action']","AU, BR, DE, FR, GB, IN, JP, MX","London, England, April 1980. Six terrorists assault the Embassy of Iran and take hostages. For six days, tense negotiations are held while the authorities decide whether a military squad should intervene."
6 Underground,movie,2019,2019-12-13,5.2565,en,"['Comedy', 'Thriller', 'Action']","AU, BR, CA, DE, FR, GB, IN, JP, MX, US","After faking his death, a tech billionaire recruits a team of international operatives for a bold and bloody mission to take down a brutal dictator."
65,movie,2023,2023-03-02,6.7455,en,"['Adventure', 'Science Fiction', 'Action']","AU, CA, GB, IN, JP","65 million years ago, the only 2 survivors of a spaceship from Somaris that crash-landed on Earth, must fend off dinosaurs to reach the escape vessel in time before an imminent asteroid strike threatens to destroy the planet."
7 Days Out,tv,2018,2018-12-21,0.9115,en,['Documentary'],"AU, BR, CA, DE, FR, GB, IN, JP, MX, US","Witness the excitement and drama behind the scenes in the seven days leading up to major live events in the worlds of sports, fashion, space and food."
7 Days in Entebbe,movie,2018,2018-08-29,2.0327,en,"['Crime', 'Drama', 'Thriller']",AU,"In 1976, four hijackers take over an Air France airplane en route from Tel Aviv to Paris and force it to land in Entebbe, Uganda. With 248 passengers on board, one of the most daring rescue missions ever is set in motion."
7 Guardians of the Tomb,movie,2018,2018-01-19,2.1137,en,"['Adventure', 'Horror', 'Action']",JP,An innocent discovery of a well-preserved mummified Emperor from 200 BC China unearths a 2000 year old nightmare - a secret that should have remained buried.
72 Dangerous Animals: Asia,tv,2018,2018-08-10,1.3994,en,['Documentary'],"AU, BR, CA, DE, FR, GB, JP, MX, US","From fangs to claws to venomous stings, they all wield deadly weapons. But which creature will be crowned the fiercest of all?"
