Year,Quarter,Revenue_Million,Release_Quarter
2025,Q1,10.54,Q1 2025
2024,Q4,39.0,Q4 2024
2024,Q3,28.75,Q3 2024
2024,Q2,18.93,Q2 2024
2024,Q1,9.37,Q1 2024
2023,Q4,33.72,Q4 2023
2023,Q3,24.89,Q3 2023
2023,Q2,16.35,Q2 2023
2023,Q1,8.16,Q1 2023
2022,Q4,31.62,Q4 2022
2022,Q3,23.76,Q3 2022
2022,Q2,15.84,Q2 2022
2022,Q1,7.87,Q1 2022
2021,Q4,29.7,Q4 2021
2021,Q3,21.99,Q3 2021
2021,Q2,14.51,Q2 2021
2021,Q1,7.16,Q1 2021
2020,Q4,25.0,Q4 2020
2020,Q3,18.35,Q3 2020
2020,Q2,11.92,Q2 2020
2020,Q1,5.77,Q1 2020
2019,Q4,20.16,Q4 2019
2019,Q3,14.69,Q3 2019
2019,Q2,9.44,Q2 2019
2019,Q1,4.52,Q1 2019
2018,Q4,4.19,Q4 2018
2018,Q3,4.0,Q3 2018
2018,Q2,3.91,Q2 2018
2018,Q1,3.7,Q1 2018
2017,Q4,3.29,Q4 2017
2017,Q3,2.98,Q3 2017
2017,Q2,2.79,Q2 2017
2017,Q1,2.64,Q1 2017
